Book_id,Title,Language_id,MRP,Publisher_id,Published_date,Volume,Status
1,Rev,2,707.31,5,"error: invalid date ""2023-09-20""",8,In Stock
2,Ms,2,463.44,1,"error: invalid date ""2023-09-20""",9,In Stock
3,Dr,4,793.78,3,"error: invalid date ""2023-09-20""",2,In Stock
4,Honorable,4,112.0,1,"error: invalid date ""2023-09-20""",8,Available
5,Honorable,5,434.62,2,"error: invalid date ""2023-09-20""",3,Out of Stock
6,Mr,3,888.54,5,"error: invalid date ""2023-09-20""",4,Out of Stock
7,Dr,1,964.87,5,"error: invalid date ""2023-09-20""",2,Out of Stock
8,Ms,4,967.18,5,"error: invalid date ""2023-09-20""",10,Out of Stock
9,Ms,3,931.87,3,"error: invalid date ""2023-09-20""",7,Out of Stock
10,Mr,5,358.76,2,"error: invalid date ""2023-09-20""",6,Available
11,Dr,3,389.23,3,"error: invalid date ""2023-09-20""",Book_id,Title,Language_id,MRP,Publisher_id,Published_date,Volume,Status
1,Rev,2,707.31,5,2023-09-20,8,In Stock
2,Ms,2,463.44,1,2023-09-20,9,In Stock
3,Dr,4,793.78,3,2023-09-20,2,In Stock
4,Honorable,4,112,1,2023-09-20,8,Available
5,Honorable,5,434.62,2,2023-09-20,3,Out of Stock
6,Mr,3,888.54,5,2023-09-20,4,Out of Stock
7,Dr,1,964.87,5,2023-09-20,2,Out of Stock
8,Ms,4,967.18,5,2023-09-20,10,Out of Stock
9,Ms,3,931.87,3,2023-09-20,7,Out of Stock
10,Mr,5,358.76,2,2023-09-20,6,Available
11,Dr,3,389.23,3,2023-09-20,10,In Stock
12,Ms,4,84.36,5,2023-09-20,5,Available
13,Ms,1,444.55,4,2023-09-20,8,Out of Stock
14,Ms,1,769.25,5,2023-09-20,5,Out of Stock
15,Honorable,3,550.77,2,2023-09-20,5,In Stock
16,Ms,2,758.95,4,2023-09-20,3,Out of Stock
17,Ms,5,353.24,1,2023-09-20,10,In Stock
18,Ms,1,155.01,5,2023-09-20,8,Out of Stock
19,Ms,1,363.59,1,2023-09-20,0,Out of Stock
20,Mr,4,334.99,2,2023-09-20,9,Out of Stock
21,Dr,3,449,1,2023-09-20,2,Out of Stock
22,Rev,3,104.64,4,2023-09-20,6,Available
23,Ms,5,735.33,4,2023-09-20,4,Available
24,Rev,3,783.58,1,2023-09-20,3,Out of Stock
25,Ms,1,403.13,4,2023-09-20,4,Available
26,Mr,2,742.15,2,2023-09-20,9,In Stock
27,Rev,1,968.25,5,2023-09-20,10,In Stock
28,Mr,4,694.29,3,2023-09-20,0,Out of Stock
29,Honorable,2,526.55,1,2023-09-20,0,Out of Stock
30,Mrs,5,904.45,5,2023-09-20,4,Available
31,Honorable,2,383.86,4,2023-09-20,6,In Stock
32,Ms,4,397.55,1,2023-09-20,5,Available
33,Rev,3,373.84,3,2023-09-20,10,Out of Stock
34,Mr,2,365.61,5,2023-09-20,9,In Stock
35,Ms,4,592.79,2,2023-09-20,2,Out of Stock
36,Ms,2,371.04,5,2023-09-20,10,Available
37,Rev,1,363.5,4,2023-09-20,8,Available
38,Mr,3,684.16,4,2023-09-20,0,In Stock
39,Honorable,3,270.8,4,2023-09-20,10,Out of Stock
40,Honorable,4,990.21,1,2023-09-20,3,Available
41,Ms,5,34.04,3,2023-09-20,10,Out of Stock
42,Mrs,3,22.86,1,2023-09-20,3,Out of Stock
43,Honorable,2,399.09,5,2023-09-20,4,Available
44,Ms,2,942.11,3,2023-09-20,0,Out of Stock
45,Dr,4,634.63,4,2023-09-20,7,Out of Stock
46,Mrs,3,544.37,3,2023-09-20,6,Available
47,Mrs,4,694.05,4,2023-09-20,8,Out of Stock
48,Rev,3,737.3,1,2023-09-20,2,Out of Stock
49,Ms,5,601.34,2,2023-09-20,10,Out of Stock
50,Mrs,4,541.71,3,2023-09-20,10,Available
51,Mrs,2,125,2,2023-09-20,0,In Stock
52,Mr,2,396.77,1,2023-09-20,8,Available
53,Honorable,3,26.98,5,2023-09-20,8,Out of Stock
54,Dr,5,720.95,5,2023-09-20,2,Out of Stock
55,Rev,5,672.46,5,2023-09-20,7,Available
56,Dr,1,355.09,2,2023-09-20,9,Out of Stock
57,Honorable,3,665.85,4,2023-09-20,9,In Stock
58,Mr,5,354.88,5,2023-09-20,10,In Stock
59,Ms,3,360.72,5,2023-09-20,4,In Stock
60,Ms,1,694.65,4,2023-09-20,1,Out of Stock
61,Mrs,5,588.31,4,2023-09-20,0,In Stock
62,Dr,4,193.99,1,2023-09-20,5,In Stock
63,Mrs,3,728.54,1,2023-09-20,9,Out of Stock
64,Honorable,2,797.45,1,2023-09-20,8,Available
65,Ms,2,208.12,2,2023-09-20,9,In Stock
66,Honorable,3,545.61,3,2023-09-20,5,Available
67,Rev,5,704.76,1,2023-09-20,0,In Stock
68,Rev,2,242.86,2,2023-09-20,1,Out of Stock
69,Honorable,2,767.72,5,2023-09-20,0,Out of Stock
70,Ms,5,200.91,5,2023-09-20,10,Out of Stock
71,Dr,2,75.56,4,2023-09-20,6,In Stock
72,Mr,5,651.1,4,2023-09-20,8,Available
73,Honorable,1,386.72,4,2023-09-20,5,Out of Stock
74,Mr,2,595.51,2,2023-09-20,0,Out of Stock
75,Rev,3,880.59,4,2023-09-20,3,Out of Stock
76,Ms,1,84.15,2,2023-09-20,0,Available
77,Mrs,3,883.72,1,2023-09-20,1,In Stock
78,Rev,4,474.51,2,2023-09-20,10,Available
79,Honorable,1,67.97,3,2023-09-20,3,Available
80,Ms,3,867.71,4,2023-09-20,6,Out of Stock
81,Mrs,3,353.55,4,2023-09-20,4,Out of Stock
82,Honorable,1,926.14,3,2023-09-20,3,Out of Stock
83,Honorable,3,21.35,1,2023-09-20,4,Out of Stock
84,Honorable,5,71.13,1,2023-09-20,6,Available
85,Rev,2,280.52,1,2023-09-20,3,Available
86,Mrs,4,78.11,1,2023-09-20,9,In Stock
87,Rev,3,37.95,1,2023-09-20,5,Out of Stock
88,Mrs,4,901.82,2,2023-09-20,8,Out of Stock
89,Dr,1,31.45,2,2023-09-20,1,In Stock
90,Ms,1,949.98,5,2023-09-20,1,In Stock
91,Ms,2,709.52,2,2023-09-20,6,Available
92,Mrs,3,134.41,4,2023-09-20,3,In Stock
93,Rev,5,443.37,4,2023-09-20,4,In Stock
94,Honorable,5,495.14,5,2023-09-20,6,Available
95,Ms,4,732.81,2,2023-09-20,4,In Stock
96,Mrs,4,68.62,1,2023-09-20,3,Out of Stock
97,Dr,4,517.38,1,2023-09-20,9,Available
98,Honorable,2,235.39,2,2023-09-20,7,Out of Stock
99,Rev,3,254.04,5,2023-09-20,2,Out of Stock
100,Mrs,1,834.08,3,2023-09-20,5,Out of Stock
101,Mrs,3,569.23,2,2023-09-20,5,In Stock
102,Ms,3,529.88,2,2023-09-20,8,In Stock
103,Mrs,4,236.21,3,2023-09-20,2,In Stock
104,Honorable,5,137.94,2,2023-09-20,0,Out of Stock
105,Mrs,5,640.58,2,2023-09-20,0,Out of Stock
106,Honorable,3,484.74,3,2023-09-20,8,Out of Stock
107,Rev,3,398.43,3,2023-09-20,1,Available
108,Mr,1,817.57,5,2023-09-20,5,In Stock
109,Honorable,1,205.97,3,2023-09-20,5,Out of Stock
110,Honorable,5,792.46,4,2023-09-20,10,Available
111,Dr,3,839.36,1,2023-09-20,5,Available
112,Honorable,2,598.79,4,2023-09-20,5,Out of Stock
113,Mr,2,63.07,2,2023-09-20,5,Out of Stock
114,Mrs,2,53.4,3,2023-09-20,9,In Stock
115,Mr,1,858.99,5,2023-09-20,7,Out of Stock
116,Ms,4,48.2,2,2023-09-20,8,Out of Stock
117,Rev,5,652.46,3,2023-09-20,10,Available
118,Mr,4,555.24,3,2023-09-20,9,Available
119,Honorable,3,181.33,4,2023-09-20,2,Available
120,Mr,4,432.1,3,2023-09-20,8,Out of Stock
121,Mrs,4,528.66,4,2023-09-20,8,Out of Stock
122,Mrs,4,592.92,2,2023-09-20,2,In Stock
123,Honorable,5,817.57,4,2023-09-20,10,Out of Stock
124,Mrs,5,591.82,1,2023-09-20,10,In Stock
125,Ms,3,398.67,5,2023-09-20,6,In Stock
126,Dr,1,982.15,1,2023-09-20,4,In Stock
127,Mr,5,961.36,1,2023-09-20,4,Available
128,Honorable,5,830.94,4,2023-09-20,1,In Stock
129,Mr,3,223.3,4,2023-09-20,3,Out of Stock
130,Honorable,2,88.58,1,2023-09-20,2,Available
131,Rev,1,860.13,2,2023-09-20,5,Available
132,Dr,5,720.81,1,2023-09-20,4,In Stock
133,Dr,3,108.96,2,2023-09-20,5,In Stock
134,Dr,5,404.36,4,2023-09-20,5,Out of Stock
135,Rev,4,747.87,4,2023-09-20,8,Available
136,Mr,5,236.68,4,2023-09-20,9,Out of Stock
137,Rev,1,30.78,2,2023-09-20,3,Out of Stock
138,Ms,2,605.25,2,2023-09-20,8,Out of Stock
139,Rev,4,417.38,3,2023-09-20,9,Out of Stock
140,Ms,5,571.25,2,2023-09-20,3,In Stock
141,Mrs,4,390.21,3,2023-09-20,0,In Stock
142,Honorable,3,921.39,5,2023-09-20,7,In Stock
143,Ms,2,182.88,4,2023-09-20,4,Available
144,Ms,2,408.26,5,2023-09-20,10,Available
145,Rev,4,195.11,2,2023-09-20,9,Out of Stock
146,Rev,5,703.36,4,2023-09-20,1,In Stock
147,Rev,1,550.16,2,2023-09-20,8,Available
148,Rev,1,9.07,5,2023-09-20,9,Available
149,Mrs,3,400.63,5,2023-09-20,1,In Stock
150,Mr,4,667.83,5,2023-09-20,4,In Stock
151,Ms,1,141.94,1,2023-09-20,8,Available
152,Ms,2,635.74,4,2023-09-20,2,In Stock
153,Ms,2,531.96,2,2023-09-20,6,In Stock
154,Mr,5,188.53,1,2023-09-20,5,In Stock
155,Ms,3,867.13,5,2023-09-20,6,In Stock
156,Ms,3,956.43,1,2023-09-20,4,Out of Stock
157,Ms,3,351.88,3,2023-09-20,3,Available
158,Mr,5,356.09,3,2023-09-20,2,In Stock
159,Ms,3,240.2,3,2023-09-20,10,Available
160,Rev,4,911.48,4,2023-09-20,0,Out of Stock
161,Ms,4,5.58,3,2023-09-20,10,In Stock
162,Rev,4,881.71,2,2023-09-20,5,Available
163,Mrs,1,560.84,1,2023-09-20,8,Available
164,Dr,4,535.71,4,2023-09-20,9,Out of Stock
165,Dr,5,149.64,1,2023-09-20,3,In Stock
166,Ms,4,595.51,5,2023-09-20,7,Available
167,Mr,2,296.93,1,2023-09-20,0,Out of Stock
168,Mrs,2,240.99,3,2023-09-20,7,In Stock
169,Mrs,1,137.63,3,2023-09-20,9,In Stock
170,Ms,4,244.18,2,2023-09-20,2,Out of Stock
171,Ms,3,119,3,2023-09-20,5,In Stock
172,Mr,3,728.39,2,2023-09-20,7,In Stock
173,Mrs,5,335.69,5,2023-09-20,8,Available
174,Honorable,2,316.73,4,2023-09-20,2,In Stock
175,Rev,4,338.48,3,2023-09-20,2,In Stock
176,Honorable,4,933.99,3,2023-09-20,6,Out of Stock
177,Rev,2,340.53,3,2023-09-20,0,In Stock
178,Dr,3,119.63,5,2023-09-20,7,Available
179,Dr,5,790.28,2,2023-09-20,4,Available
180,Ms,5,248.85,5,2023-09-20,4,Out of Stock
181,Honorable,2,553.28,5,2023-09-20,6,Out of Stock
182,Rev,2,905.47,1,2023-09-20,4,Available
183,Rev,2,139.28,5,2023-09-20,7,In Stock
184,Honorable,2,535,4,2023-09-20,10,In Stock
185,Honorable,2,971.96,1,2023-09-20,10,Available
186,Mrs,3,599.68,3,2023-09-20,3,Out of Stock
187,Dr,3,932.58,2,2023-09-20,1,In Stock
188,Ms,2,332.74,3,2023-09-20,7,In Stock
189,Ms,2,851.73,1,2023-09-20,6,Out of Stock
190,Dr,5,841.05,5,2023-09-20,4,Out of Stock
